X_ 1,X_ 2,X_ 3,X_ 4,X_ 5,X_ 6,X_ 7,X_ 8,X_ 9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,Y_ 1,Y_ 2,Y_ 3,Y_ 4,Y_ 5,Y_ 6,Y_ 7,Y_ 8,Y_ 9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,IDEN
-89.638528,-89.638429,-89.466421,-89.32927,-89.358597,-89.162238,-89.047856,-89.047718,-89.47233,-89.447693,-89.638727,-89.638528,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.141321,41.148591,41.148558,41.147931,41.103665,41.10408,41.104781,40.925749,40.921206,40.973246,40.973707,41.141321,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
-90.904216,-90.789652,-90.445506,-90.450227,-90.909756,-90.904216,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.639201,40.63575,40.627843,40.276335,40.284394,40.639201,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
-88.7073777154018,-88.506912,-88.304692,-88.2169,-88.1995290014485,-88.198601,-88.198647,-88.198314,-88.198683,-88.199584,-88.238369,-88.257689,-88.354183,-88.393762,-88.588657,-88.705633,-88.7073777154018,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4935870147696,42.494883,42.4956081727515,42.495923,42.4957560156903,42.415567,42.328861,42.241612,42.241671,42.15426,42.154253,42.154073,42.154224,42.1539,42.15359,42.153561,42.4935870147696,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
-89.26939,-89.133752,-89.044368,-88.9847,-88.986896,-88.929331,-88.584272,-88.574502,-88.459475,-88.459957,-88.460418,-88.491052,-88.574885,-88.919544,-89.148764,-89.148772,-89.26265,-89.26374,-89.26939,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,40.594329,40.596734,40.627428,40.664954,40.752297,40.753337,40.757608,40.61655,40.617345,40.39885,40.281935,40.281219,40.281501,40.282865,40.282038,40.28252,40.280919,40.325344,40.594329,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,111
-91.114186,-91.0744154980196,-91.0740876236741,-90.433771,-90.437657,-90.439423,-90.785194,-90.9518941426813,-90.9522654164822,-90.957246,-90.997906,-91.041536,-91.081445,-91.114186,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.250029,41.3336315690407,41.3343208019205,41.326983,41.151252,41.063995,41.068749,41.0698727358664,41.07273174967,41.111085,41.162564,41.166138,41.214429,41.250029,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
-90.372519,-90.349743,-90.3429152667372,-90.3402442817043,-90.288815,-90.271314,-90.260976059287,-90.036018,-89.903937,-89.899061,-90.036385,-90.035999,-90.2057286258827,-90.218708,-90.252484,-90.2527463239758,-90.322353,-90.3511641450603,-90.363926,-90.372519,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,38.323354,38.377609,38.3844273200276,38.3870946226363,38.438453,38.496052,38.5185267874078,38.30885,38.297203,38.220755,38.223125,38.13563,38.0882331831086,38.094365,38.127571,38.1277738262294,38.181593,38.2195444570945,38.236355,38.323354,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,113
-89.701645,-89.533655,-89.530836,-89.139807,-89.140076,-89.250513,-89.250447,-89.586088,-89.639265,-89.698555,-89.701645,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.523369,39.524592,39.348864,39.348888,39.217907,39.217512,39.028145,39.028246,38.999129,38.998979,39.523369,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
-90.571754,-90.583534,-89.994405,-89.993755,-89.926037,-90.15375,-90.301801,-90.300666,-90.372969,-90.371253,-90.483385,-90.483063,-90.599105,-90.571754,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.839326,39.87675,39.87286,39.785329,39.522104,39.520315,39.520192,39.636541,39.665781,39.753388,39.753434,39.78924,39.79006,39.839326,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
-88.812709,-88.745671,-88.473182,-88.472073,-88.470505,-88.584273,-88.641468,-88.716875,-88.717539,-88.809051,-88.810575,-88.812709,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.740486,39.792146,39.791837,39.651588,39.447041,39.447582,39.520958,39.521209,39.579299,39.580241,39.653222,39.740486,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
-89.688486,-89.396192,-89.173,-89.172799,-89.091831,-88.939732,-88.941279,-89.414627,-89.426727,-89.62933,-89.685366,-89.688486,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.199112,42.201916,42.204241,42.150297,42.150681,42.15232,41.891752,41.886175,41.908418,41.901617,41.93034,42.199112,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117
